k,Outcome_group,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_min,sws_q25,sws_median,sws_mean,sws_q75,sws_max
8,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
8,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.38628625,1.5081212499999999,1.717925625,1.7158428125,1.8573328125,2.12220875
8,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.36491375,1.5978206250000002,1.89383875,1.8976266666666666,2.1651321875000002,2.4784575
8,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.58604625,1.733644375,1.8812425,1.8905920833333334,2.042865,2.2044875
8,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.58412375,1.7233943750000003,1.8626650000000002,1.8626650000000002,2.001935625,2.14120625
8,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.34018625,1.5004875,1.73852125,1.7351976388888888,1.93749,2.22552375
8,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
8,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
9,All,Prepartum,-10,-8,-9,"[-10.0,-8.0)",19,19,1.36500555555556,1.501483888888885,1.79839555555556,1.7673076023391816,1.934566666666665,2.43796666666667
9,All,Prepartum,-8,-6,-7,"[-8.0,-6.0)",13,13,1.37190888888889,1.55417777777778,1.72022,1.81502282051282,2.01178,2.55225666666667
9,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.45210111111111,1.5247041666666699,1.5706472222222199,1.6967816666666666,1.7989661111111124,2.20283222222222
9,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.58051888888889,1.7281680555555574,1.8758172222222251,1.8758172222222251,2.0234663888888926,2.17111555555556
9,All,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.34416555555556,1.49042666666667,1.73755444444444,1.7530560493827179,1.98950888888889,2.22581888888889
9,All,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
9,All,Postpartum,6,8,7,"[6.0,8.0)",33,33,1.997776,3.025854,3.58422,3.530713212121212,4.051435,4.901587
9,All,Postpartum,8,10,9,"[8.0,10.0)",8,8,2.607498,2.6893085,3.1594335,3.3162115,3.865465,4.399807
9,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.36500555555556,1.579316666666665,1.83135888888889,1.8037847474747482,1.934566666666665,2.43796666666667
9,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.37268222222222,1.5464705555555551,1.68583444444444,1.7517087301587286,1.77912333333333,2.55225666666667
9,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.45210111111111,1.4810433333333348,1.50998555555556,1.5115070370370367,1.54121,1.57243444444444
9,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
9,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,1.997776,2.9506765,3.420208,3.421609666666667,3.895045,4.468907
9,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
