k,Outcome_label,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_q25,sws_median,sws_mean,sws_q75
4,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.464788125,1.640115,1.671435,1.7664668749999999
4,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.6388243750000002,1.9555962500000001,1.9633375,2.363035625
4,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.7311912500000002,1.945505,1.8781408333333334,2.0587725
4,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.706906875,1.8066637500000002,1.8066637500000002,1.9064206250000002
4,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.5228725,1.760355,1.7244502777777777,1.8206675
4,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.33414,3.698894,3.821656,4.329331
4,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925
4,sPTB,Postpartum,12,14,13,"[12.0,14.0)",1,1,3.988905,3.988905,3.988905,3.988905
4,sPTB,Postpartum,14,16,15,"[14.0,16.0)",2,2,3.2799115,4.193372,4.193372,5.1068325
4,sPTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,3.425857,3.425857,3.425857,3.425857
4,sPTB,Postpartum,26,28,27,"[26.0,28.0)",2,2,3.4765474999999997,3.6368359999999997,3.6368359999999997,3.7971245000000002
4,sPTB,Postpartum,28,30,29,"[28.0,30.0)",2,2,2.9705445,2.999497,2.999497,3.0284495000000002
4,sPTB,Postpartum,38,40,39,"[38.0,40.0)",1,1,3.561299,3.561299,3.561299,3.561299
4,sPTB,Postpartum,42,44,43,"[42.0,44.0)",1,1,2.575475,2.575475,2.575475,2.575475
4,sPTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,3.947721,3.947721,3.947721,3.947721
4,sPTB,Postpartum,52,54,53,"[52.0,54.0)",1,1,2.878971,2.878971,2.878971,2.878971
4,sPTB,Postpartum,58,60,59,"[58.0,60.0)",1,1,3.254268,3.254268,3.254268,3.254268
5,FTB,Prepartum,-24,-22,-23,"[-24.0,-22.0)",8,8,1.9691584999999998,2.230045,2.310063,2.7318465
5,FTB,Prepartum,-22,-20,-21,"[-22.0,-20.0)",109,109,1.992538,2.451436,2.5682391834862384,3.099844
5,FTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",216,216,1.954031,2.323725,2.4213666666666667,2.8123299999999998
5,FTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",176,176,1.707384,2.07346,2.190472738636364,2.5912395000000004
5,FTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",173,173,1.652334,1.967226,2.070469335260116,2.33952
5,FTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",105,105,1.617068,2.06062,2.1341199428571427,2.457242
5,FTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",31,31,1.7445249999999999,2.028238,2.1141212903225806,2.3823049999999997
5,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.5836640000000002,1.83709,1.8035038181818182,1.9254280000000001
5,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.5342889999999998,1.69018,1.7460508571428572,1.762391
5,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.5252880000000002,1.546032,1.5343846666666667,1.549305
5,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,3.132935,3.6215725,3.5090065,3.997644
5,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,2.9506765,3.420208,3.421609666666667,3.895045
